time,command,strain1,strain2
4.792213439941406e-05,0.0,13.668,9.127
0.016546010971069336,0.0004,13.664,9.127
0.03268694877624512,0.0008,13.666,9.127
0.048037052154541016,0.0012000000000000001,13.666,9.127
0.0640869140625,0.0016,13.671,9.127
0.07988595962524414,0.002,-0.01,-0.081
0.0958559513092041,0.0024000000000000002,-0.007,-0.079
0.1119999885559082,0.0028,-0.01,-0.079
0.12793302536010742,0.0032,-0.012,-0.082
0.14365601539611816,0.0036000000000000003,-0.007,-0.08
0.15947389602661133,0.004,-0.007,-0.082
0.17572689056396484,0.0044,-0.01,-0.082
0.1920468807220459,0.0048000000000000004,-0.01,-0.082
0.2076728343963623,0.005200000000000001,-0.012,-0.081
0.22408390045166016,0.0056,-0.015,-0.079
0.24022388458251953,0.006,-0.012,-0.082
0.25622105598449707,0.0064,-0.01,-0.08
0.2719600200653076,0.0068000000000000005,-0.012,-0.081
0.288132905960083,0.007200000000000001,-0.015,-0.082
0.3042490482330322,0.0076,-0.007,-0.08
0.3202040195465088,0.008,-0.012,-0.08
0.33705592155456543,0.008400000000000001,-0.01,-0.079
0.3519918918609619,0.0088,-0.007,-0.078
0.36817502975463867,0.0092,-0.012,-0.081
0.38361096382141113,0.009600000000000001,-0.017,-0.08
0.3995490074157715,0.01,-0.012,-0.08
0.41533994674682617,0.010400000000000001,-0.012,-0.08
0.43148088455200195,0.0108,-0.017,-0.079
0.44773292541503906,0.0112,-0.022,-0.08
0.4634568691253662,0.011600000000000001,-0.015,-0.079
0.47944188117980957,0.012,-0.015,-0.079
0.4957718849182129,0.012400000000000001,-0.012,-0.082
0.512099027633667,0.0128,-0.01,-0.081
0.5306868553161621,0.0132,-0.012,-0.079
0.5440719127655029,0.013600000000000001,-0.017,-0.081
0.5598769187927246,0.014,-0.015,-0.079
0.5757100582122803,0.014400000000000001,-0.012,-0.079
0.5918200016021729,0.0148,-0.012,-0.08
0.6077549457550049,0.0152,-0.017,-0.079
0.6236319541931152,0.015600000000000001,-0.01,-0.078
0.6394078731536865,0.016,-0.012,-0.079
0.6552040576934814,0.0164,-0.022,-0.081
0.6712028980255127,0.016800000000000002,-0.007,-0.079
0.6871509552001953,0.0172,-0.012,-0.079
0.7032668590545654,0.0176,-0.017,-0.08
0.7193739414215088,0.018000000000000002,-0.02,-0.08
0.7355830669403076,0.0184,-0.01,-0.079
0.7517828941345215,0.0188,-0.012,-0.079
0.7677788734436035,0.019200000000000002,-0.02,-0.082
0.7838649749755859,0.0196,-0.012,-0.08
0.8000030517578125,0.02,-0.01,-0.079
0.8158409595489502,0.0204,-0.015,-0.08
0.8317139148712158,0.020800000000000003,-0.015,-0.08
0.8479769229888916,0.0212,-0.012,-0.08
0.863433837890625,0.0216,-0.015,-0.08
0.8795468807220459,0.022000000000000002,-0.017,-0.081
0.8952798843383789,0.0224,-0.01,-0.078
0.9110019207000732,0.0228,-0.01,-0.08
0.927130937576294,0.023200000000000002,-0.015,-0.081
0.9433438777923584,0.0236,-0.01,-0.08
0.9594850540161133,0.024,-0.015,-0.079
0.9752559661865234,0.0244,-0.015,-0.08
0.9914429187774658,0.024800000000000003,-0.012,-0.079
1.0076398849487305,0.0252,-0.01,-0.079
1.0234689712524414,0.0256,-0.012,-0.078
1.0394139289855957,0.026000000000000002,-0.02,-0.079
1.0559699535369873,0.0264,-0.012,-0.078
1.0714240074157715,0.0268,-0.01,-0.079
1.0875470638275146,0.027200000000000002,-0.015,-0.08
1.1033148765563965,0.027600000000000003,-0.012,-0.078
1.1194179058074951,0.028,-0.017,-0.081
1.1353118419647217,0.0284,-0.017,-0.08
1.1511039733886719,0.028800000000000003,-0.012,-0.078
1.1667940616607666,0.0292,-0.005,-0.08
1.1831059455871582,0.0296,-0.015,-0.079
1.1987979412078857,0.030000000000000002,-0.015,-0.082
1.2155559062957764,0.0304,-0.01,-0.08
1.230975866317749,0.0308,-0.01,-0.08
1.2472138404846191,0.031200000000000002,-0.02,-0.081
1.2633249759674072,0.0316,-0.01,-0.081
1.2796399593353271,0.032,-0.01,-0.08
1.2952828407287598,0.0324,-0.012,-0.08
1.3113038539886475,0.0328,-0.01,-0.081
1.3273110389709473,0.0332,-0.01,-0.079
1.3435230255126953,0.033600000000000005,-0.015,-0.08
1.3592779636383057,0.034,-0.015,-0.08
1.375126838684082,0.0344,-0.007,-0.079
1.3906610012054443,0.034800000000000005,-0.012,-0.082
1.4065320491790771,0.0352,-0.015,-0.081
1.4225530624389648,0.0356,-0.012,-0.081
1.438640832901001,0.036000000000000004,-0.015,-0.08
1.454638957977295,0.0364,-0.017,-0.08
1.4707369804382324,0.0368,-0.012,-0.081
1.487069845199585,0.037200000000000004,-0.01,-0.078
1.5031819343566895,0.0376,-0.015,-0.079
1.518725872039795,0.038,-0.012,-0.08
1.5348269939422607,0.038400000000000004,-0.01,-0.078
1.5510950088500977,0.0388,-0.01,-0.08
1.5671439170837402,0.0392,-0.02,-0.081
1.5830540657043457,0.0396,-0.01,-0.078
1.5989079475402832,0.04,-0.012,-0.079
1.6150779724121094,0.040400000000000005,-0.017,-0.08
1.6309418678283691,0.0408,-0.012,-0.08
1.646803855895996,0.0412,-0.012,-0.08
1.662402868270874,0.041600000000000005,-0.01,-0.079
1.6784758567810059,0.042,-0.012,-0.08
1.6946799755096436,0.0424,-0.012,-0.078
1.7105510234832764,0.042800000000000005,-0.012,-0.079
1.7265980243682861,0.0432,-0.017,-0.08
1.7429890632629395,0.0436,-0.012,-0.079
1.7591300010681152,0.044000000000000004,-0.015,-0.08
1.7751009464263916,0.0444,-0.012,-0.079
1.7909460067749023,0.0448,-0.012,-0.08
1.8074090480804443,0.045200000000000004,-0.01,-0.078
1.8229248523712158,0.0456,-0.012,-0.08
1.8387730121612549,0.046,-0.015,-0.08
1.8549728393554688,0.046400000000000004,-0.01,-0.079
1.8709449768066406,0.0468,-0.01,-0.081
1.8865430355072021,0.0472,-0.017,-0.08
1.9023709297180176,0.0476,-0.015,-0.078
1.9182488918304443,0.048,-0.012,-0.078
1.9346458911895752,0.048400000000000006,-0.017,-0.081
1.9504308700561523,0.0488,-0.01,-0.079
1.9665729999542236,0.0492,-0.012,-0.079
1.9827189445495605,0.049600000000000005,-0.015,-0.08
1.9986660480499268,0.05,-0.015,-0.079
2.014875888824463,0.0504,-0.01,-0.079
2.030632972717285,0.050800000000000005,-0.01,-0.079
2.0466840267181396,0.0512,-0.02,-0.082
2.0632598400115967,0.0516,-0.007,-0.08
2.078939914703369,0.052000000000000005,-0.01,-0.08
2.0946738719940186,0.0524,-0.015,-0.08
2.1106209754943848,0.0528,-0.012,-0.08
2.12652587890625,0.053200000000000004,-0.007,-0.081
2.1423819065093994,0.0536,-0.015,-0.079
2.158082962036133,0.054,-0.017,-0.078
2.1740050315856934,0.054400000000000004,-0.015,-0.079
2.1900229454040527,0.0548,-0.01,-0.079
2.2061638832092285,0.055200000000000006,-0.017,-0.081
2.222208023071289,0.055600000000000004,-0.01,-0.078
2.2384560108184814,0.056,-0.01,-0.08
2.254502058029175,0.056400000000000006,-0.017,-0.08
2.2707979679107666,0.0568,-0.017,-0.08
2.2867159843444824,0.0572,-0.015,-0.078
2.302932024002075,0.057600000000000005,-0.012,-0.079
2.319002866744995,0.058,-0.015,-0.08
2.334868907928467,0.0584,-0.037,-0.079
2.350848913192749,0.058800000000000005,-0.012,-0.08
2.3664610385894775,0.0592,-0.012,-0.082
2.38236403465271,0.0596,-0.01,-0.08
2.3979430198669434,0.060000000000000005,-0.012,-0.08
2.4138200283050537,0.0604,-0.015,-0.081
2.4300408363342285,0.0608,-0.01,-0.082
2.446382999420166,0.061200000000000004,-0.037,-0.078
2.461993932723999,0.0616,-0.012,-0.078
2.478766918182373,0.062,-0.01,-0.08
2.4942729473114014,0.062400000000000004,-0.007,-0.078
2.510370969772339,0.06280000000000001,-0.012,-0.08
2.526214838027954,0.0632,-0.017,-0.081
2.5428240299224854,0.0636,-0.005,-0.078
2.5586018562316895,0.064,-0.022,-0.08
2.5745339393615723,0.0644,-0.017,-0.081
2.5906660556793213,0.0648,-0.015,-0.08
2.6064419746398926,0.06520000000000001,-0.012,-0.079
2.6224608421325684,0.0656,-0.01,-0.079
2.638308048248291,0.066,-0.012,-0.08
2.6540029048919678,0.0664,-0.002,-0.078
2.6697800159454346,0.0668,-0.037,-0.077
2.6859960556030273,0.06720000000000001,-0.012,-0.08
2.701866865158081,0.06760000000000001,-0.01,-0.079
2.717857837677002,0.068,-0.01,-0.079
2.7339189052581787,0.0684,-0.024,-0.08
2.7505040168762207,0.0688,-0.012,-0.08
2.766479969024658,0.0692,-0.012,-0.079
2.782317876815796,0.06960000000000001,-0.022,-0.08
2.798405885696411,0.07,-0.017,-0.081
2.8140950202941895,0.0704,-0.007,-0.079
2.83040189743042,0.0708,-0.015,-0.078
2.8464579582214355,0.0712,-0.015,-0.081
2.862107992172241,0.0716,-0.015,-0.08
2.8784019947052,0.07200000000000001,-0.01,-0.08
2.893770933151245,0.0724,-0.017,-0.08
2.9095959663391113,0.0728,-0.01,-0.079
2.9255518913269043,0.0732,-0.015,-0.078
2.941709041595459,0.0736,-0.012,-0.079
2.957674980163574,0.07400000000000001,-0.015,-0.079
2.973957061767578,0.07440000000000001,-0.012,-0.079
2.990238904953003,0.0748,-0.012,-0.081
3.0067179203033447,0.0752,-0.015,-0.081
3.0223729610443115,0.0756,-0.012,-0.079
3.0381669998168945,0.076,-0.012,-0.08
3.054347038269043,0.07640000000000001,-0.015,-0.081
