time,command,strain1,strain2
4.696846008300781e-05,0.0,0.02,-0.089
0.0013239383697509766,0.0004,0.02,-0.089
0.003312826156616211,0.0008,0.022,-0.089
0.005242824554443359,0.0012000000000000001,0.017,-0.091
0.007494926452636719,0.0016,0.017,-0.09
0.009650945663452148,0.002,0.02,-0.089
0.011358022689819336,0.0024000000000000002,0.02,-0.089
0.013710975646972656,0.0028,0.02,-0.09
0.015280961990356445,0.0032,0.024,-0.089
0.01725292205810547,0.0036000000000000003,0.017,-0.09
0.019215822219848633,0.004,0.017,-0.09
0.021251916885375977,0.0044,0.02,-0.088
0.0232388973236084,0.0048000000000000004,0.017,-0.09
0.025259017944335938,0.005200000000000001,0.015,-0.089
0.027251005172729492,0.0056,0.02,-0.089
0.02919602394104004,0.006,0.017,-0.088
0.030342817306518555,0.0064,0.017,-0.089
0.03236699104309082,0.0068000000000000005,0.02,-0.091
0.03433990478515625,0.007200000000000001,0.017,-0.089
0.03636789321899414,0.0076,0.02,-0.088
0.03858685493469238,0.008,0.015,-0.09
0.04047894477844238,0.008400000000000001,0.02,-0.089
0.04309582710266113,0.0088,0.017,-0.09
0.045433998107910156,0.0092,0.015,-0.088
0.04766082763671875,0.009600000000000001,0.02,-0.089
0.04933500289916992,0.01,0.017,-0.091
0.05137801170349121,0.010400000000000001,0.02,-0.089
0.05329704284667969,0.0108,0.017,-0.089
0.05521988868713379,0.0112,0.02,-0.089
0.05716300010681152,0.011600000000000001,0.017,-0.09
0.058281898498535156,0.012,0.017,-0.087
0.06014895439147949,0.012400000000000001,0.017,-0.086
0.061070919036865234,0.0128,0.017,-0.089
0.06384396553039551,0.0132,0.017,-0.09
0.06507992744445801,0.013600000000000001,0.02,-0.089
0.06598496437072754,0.014,0.015,-0.09
0.06700801849365234,0.014400000000000001,0.02,-0.09
0.06798195838928223,0.0148,0.02,-0.091
0.06897997856140137,0.0152,0.02,-0.09
0.06998991966247559,0.015600000000000001,0.02,-0.089
0.07090997695922852,0.016,0.017,-0.09
0.07194399833679199,0.0164,0.022,-0.09
0.07323503494262695,0.016800000000000002,0.02,-0.089
0.07493782043457031,0.0172,0.022,-0.09
0.07611799240112305,0.0176,0.02,-0.089
0.07706403732299805,0.018000000000000002,0.02,-0.089
0.07807588577270508,0.0184,0.02,-0.089
0.07886385917663574,0.0188,0.02,-0.088
0.07983589172363281,0.019200000000000002,0.015,-0.09
0.0808558464050293,0.0196,0.02,-0.09
0.08185601234436035,0.02,0.02,-0.09
0.08283400535583496,0.0204,0.022,-0.091
0.08383393287658691,0.020800000000000003,0.017,-0.089
0.08483386039733887,0.0212,0.017,-0.089
0.08584403991699219,0.0216,0.017,-0.09
0.08682894706726074,0.022000000000000002,0.02,-0.09
0.08785581588745117,0.0224,0.017,-0.09
0.08880996704101562,0.0228,0.02,-0.09
0.08983302116394043,0.023200000000000002,0.022,-0.089
0.09082794189453125,0.0236,0.015,-0.088
0.0918269157409668,0.024,0.017,-0.089
0.09279394149780273,0.0244,0.022,-0.09
0.09378981590270996,0.024800000000000003,0.02,-0.089
0.09482097625732422,0.0252,0.017,-0.089
0.09582304954528809,0.0256,0.02,-0.09
0.09682202339172363,0.026000000000000002,0.017,-0.09
0.09781289100646973,0.0264,0.02,-0.089
0.09881401062011719,0.0268,0.02,-0.09
0.09987092018127441,0.027200000000000002,0.022,-0.088
0.10093092918395996,0.027600000000000003,0.02,-0.09
0.1020200252532959,0.028,0.017,-0.09
0.10288095474243164,0.0284,0.02,-0.089
0.10390996932983398,0.028800000000000003,0.022,-0.088
0.10513687133789062,0.0292,0.017,-0.091
0.10612082481384277,0.0296,0.02,-0.089
0.10713386535644531,0.030000000000000002,0.017,-0.09
0.1080780029296875,0.0304,0.02,-0.089
0.10912585258483887,0.0308,0.022,-0.09
0.11006903648376465,0.031200000000000002,0.017,-0.09
0.1109158992767334,0.0316,0.02,-0.09
0.1118919849395752,0.032,0.017,-0.09
0.11298298835754395,0.0324,0.017,-0.091
0.11398601531982422,0.0328,0.017,-0.089
0.11498093605041504,0.0332,0.017,-0.089
0.1159818172454834,0.033600000000000005,0.02,-0.088
0.11698293685913086,0.034,0.017,-0.089
0.11795997619628906,0.0344,0.017,-0.091
0.11898303031921387,0.034800000000000005,0.017,-0.09
0.11998105049133301,0.0352,0.017,-0.089
0.12097787857055664,0.0356,0.02,-0.09
0.12194085121154785,0.036000000000000004,0.022,-0.09
0.12297582626342773,0.0364,0.017,-0.09
0.12398791313171387,0.0368,0.017,-0.09
0.12498903274536133,0.037200000000000004,0.017,-0.089
0.12596988677978516,0.0376,0.015,-0.089
0.12698698043823242,0.038,0.017,-0.089
0.12797904014587402,0.038400000000000004,0.017,-0.089
0.12886595726013184,0.0388,0.022,-0.09
0.13030385971069336,0.0392,0.017,-0.09
0.13231182098388672,0.0396,0.017,-0.09
0.13428902626037598,0.04,0.02,-0.09
0.13646388053894043,0.040400000000000005,0.015,-0.09
0.1383528709411621,0.0408,0.02,-0.09
0.14062786102294922,0.0412,0.02,-0.089
0.142348051071167,0.041600000000000005,0.02,-0.089
0.14458584785461426,0.042,0.02,-0.089
0.14626002311706543,0.0424,0.02,-0.089
0.14822697639465332,0.042800000000000005,0.02,-0.088
0.15018582344055176,0.0432,0.017,-0.09
0.15221595764160156,0.0436,0.02,-0.089
0.1540989875793457,0.044000000000000004,0.017,-0.089
0.15532183647155762,0.0444,0.02,-0.089
0.15729093551635742,0.0448,0.02,-0.089
0.15927982330322266,0.045200000000000004,0.017,-0.09
0.16126394271850586,0.0456,0.02,-0.09
0.16320395469665527,0.046,0.017,-0.09
0.1652059555053711,0.046400000000000004,0.017,-0.088
0.16719388961791992,0.0468,0.02,-0.091
0.16942691802978516,0.0472,0.02,-0.09
0.17125988006591797,0.0476,0.02,-0.09
0.17331600189208984,0.048,0.02,-0.091
0.1755809783935547,0.048400000000000006,0.017,-0.09
0.17737793922424316,0.0488,0.017,-0.09
0.17931294441223145,0.0492,0.017,-0.089
0.1812880039215088,0.049600000000000005,0.02,-0.089
0.1832749843597412,0.05,0.02,-0.089
0.18520689010620117,0.0504,0.017,-0.091
0.18720102310180664,0.050800000000000005,0.017,-0.091
0.18919992446899414,0.0512,0.02,-0.09
0.19116497039794922,0.0516,0.017,-0.088
0.19231295585632324,0.052000000000000005,0.017,-0.089
0.19426584243774414,0.0524,0.017,-0.09
0.19623184204101562,0.0528,0.012,-0.089
0.19822192192077637,0.053200000000000004,0.017,-0.089
0.2001650333404541,0.0536,0.02,-0.089
0.2023618221282959,0.054,0.012,-0.09
0.2042999267578125,0.054400000000000004,0.017,-0.089
0.20637989044189453,0.0548,0.015,-0.088
0.2086319923400879,0.055200000000000006,0.017,-0.088
0.2103719711303711,0.055600000000000004,0.017,-0.089
0.21234488487243652,0.056,0.017,-0.09
0.21427702903747559,0.056400000000000006,0.02,-0.089
0.21626782417297363,0.0568,0.017,-0.088
0.21825003623962402,0.0572,0.017,-0.09
0.22022604942321777,0.057600000000000005,0.017,-0.09
0.22222590446472168,0.058,0.02,-0.088
0.22410893440246582,0.0584,0.015,-0.089
0.2252800464630127,0.058800000000000005,0.017,-0.09
0.22725391387939453,0.0592,0.017,-0.088
0.22922492027282715,0.0596,0.02,-0.089
0.23119688034057617,0.060000000000000005,0.02,-0.09
0.23317790031433105,0.0604,0.02,-0.089
0.23517203330993652,0.0608,0.02,-0.091
0.23725104331970215,0.061200000000000004,0.02,-0.089
0.23932504653930664,0.0616,0.012,-0.097
0.24146485328674316,0.062,0.007,-0.095
0.2433919906616211,0.062400000000000004,0.007,-0.097
0.24527502059936523,0.06280000000000001,0.005,-0.096
0.24724102020263672,0.0632,0.005,-0.096
0.24919700622558594,0.0636,0.01,-0.094
0.25116991996765137,0.064,0.012,-0.095
0.2531909942626953,0.0644,0.012,-0.094
0.25519895553588867,0.0648,0.012,-0.093
0.257174015045166,0.06520000000000001,0.012,-0.094
0.25917696952819824,0.0656,0.017,-0.093
0.2611680030822754,0.066,0.012,-0.093
0.26317691802978516,0.0664,0.015,-0.094
0.2643148899078369,0.0668,0.015,-0.093
0.2662849426269531,0.06720000000000001,0.015,-0.094
0.2683408260345459,0.06760000000000001,0.015,-0.091
0.2703540325164795,0.068,0.017,-0.094
0.2724158763885498,0.0684,0.017,-0.093
0.27449798583984375,0.0688,0.015,-0.093
0.2764170169830322,0.0692,0.015,-0.094
0.27838683128356934,0.06960000000000001,0.015,-0.093
0.28029489517211914,0.07,0.017,-0.094
0.282228946685791,0.0704,0.015,-0.095
0.2842268943786621,0.0708,0.015,-0.093
0.28612804412841797,0.0712,0.012,-0.091
0.28728294372558594,0.0716,0.017,-0.091
0.28923702239990234,0.07200000000000001,0.015,-0.094
0.2912099361419678,0.0724,0.017,-0.094
0.2932288646697998,0.0728,0.02,-0.094
0.2952098846435547,0.0732,0.012,-0.094
0.2971968650817871,0.0736,0.01,-0.093
0.2982969284057617,0.07400000000000001,0.015,-0.093
0.30023694038391113,0.07440000000000001,0.012,-0.093
0.30225300788879395,0.0748,0.017,-0.095
0.304318904876709,0.0752,0.015,-0.093
0.3063499927520752,0.0756,0.01,-0.095
0.3083469867706299,0.076,0.012,-0.095
0.31023287773132324,0.07640000000000001,0.01,-0.095
0.3121819496154785,0.07680000000000001,0.012,-0.094
0.3141028881072998,0.0772,0.012,-0.094
0.31495094299316406,0.0776,0.017,-0.094
0.3159139156341553,0.078,0.02,-0.094
0.31689000129699707,0.0784,0.015,-0.094
0.3179168701171875,0.07880000000000001,0.017,-0.093
0.31891894340515137,0.0792,0.017,-0.093
0.3199129104614258,0.0796,0.017,-0.095
0.3208639621734619,0.08,0.015,-0.094
0.3218410015106201,0.0804,0.02,-0.093
0.32285284996032715,0.08080000000000001,0.017,-0.095
0.32387685775756836,0.08120000000000001,0.015,-0.094
0.32485294342041016,0.0816,0.015,-0.094
0.32581090927124023,0.082,0.015,-0.095
0.32678890228271484,0.0824,0.017,-0.094
0.32779788970947266,0.0828,0.012,-0.093
0.3288078308105469,0.08320000000000001,0.017,-0.094
