time,command,strain1,strain2
5.0067901611328125e-06,0.0,0.037,-0.059
0.009052038192749023,0.0004,0.044,-0.055
0.013937950134277344,0.0008,0.039,-0.056
0.018936872482299805,0.0012000000000000001,0.029,-0.061
0.02403402328491211,0.0016,0.037,-0.061
0.02902698516845703,0.002,0.032,-0.061
0.03417181968688965,0.0024000000000000002,0.032,-0.061
0.039077043533325195,0.0028,0.037,-0.059
0.04392600059509277,0.0032,0.034,-0.061
0.048976898193359375,0.0036000000000000003,0.037,-0.061
0.05400490760803223,0.004,0.039,-0.061
0.059033870697021484,0.0044,0.039,-0.058
0.06402397155761719,0.0048000000000000004,0.037,-0.057
0.06908893585205078,0.005200000000000001,0.039,-0.059
0.07419800758361816,0.0056,0.037,-0.058
0.0794069766998291,0.006,0.042,-0.062
0.08430790901184082,0.0064,0.044,-0.054
0.08932185173034668,0.0068000000000000005,0.061,-0.037
0.09936904907226562,0.007200000000000001,0.073,-0.028
0.10094785690307617,0.0076,0.068,-0.032
0.10416197776794434,0.008,0.051,-0.05
0.10918402671813965,0.008400000000000001,0.029,-0.072
0.11412787437438965,0.0088,0.027,-0.066
0.11915397644042969,0.0092,0.034,-0.055
0.1241459846496582,0.009600000000000001,0.051,-0.042
0.13016700744628906,0.01,0.073,-0.025
0.13515782356262207,0.010400000000000001,0.081,-0.015
0.14416885375976562,0.0108,0.066,-0.028
0.1462869644165039,0.0112,0.059,-0.034
0.14914584159851074,0.011600000000000001,0.064,-0.031
0.15433883666992188,0.012,0.066,-0.026
0.15915989875793457,0.012400000000000001,0.064,-0.029
0.16515684127807617,0.0128,0.066,-0.029
0.1700279712677002,0.0132,0.066,-0.029
0.17496395111083984,0.013600000000000001,0.068,-0.03
0.18012094497680664,0.014,0.068,-0.03
0.1849229335784912,0.014400000000000001,0.066,-0.03
0.18986082077026367,0.0148,0.064,-0.035
0.19487500190734863,0.0152,0.071,-0.028
0.20086288452148438,0.015600000000000001,0.078,-0.019
0.20586895942687988,0.016,0.078,-0.019
0.21511292457580566,0.0164,0.078,-0.021
0.21646499633789062,0.016800000000000002,0.081,-0.02
0.22414183616638184,0.0172,0.078,-0.02
0.22597503662109375,0.0176,0.081,-0.02
0.22917795181274414,0.018000000000000002,0.071,-0.024
0.23405194282531738,0.0184,0.073,-0.023
0.23897790908813477,0.0188,0.076,-0.02
0.24402689933776855,0.019200000000000002,0.078,-0.021
0.24894404411315918,0.0196,0.081,-0.021
0.25414490699768066,0.02,0.078,-0.02
0.2590470314025879,0.0204,0.078,-0.019
0.26419496536254883,0.020800000000000003,0.083,-0.018
0.27020692825317383,0.0212,0.086,-0.018
0.2752528190612793,0.0216,0.083,-0.018
0.2803008556365967,0.022000000000000002,0.086,-0.014
0.28531694412231445,0.0224,0.086,-0.011
0.29526185989379883,0.0228,0.086,-0.013
0.2968430519104004,0.023200000000000002,0.088,-0.01
0.30135583877563477,0.0236,0.098,0.004
0.31026291847229004,0.024,0.103,0.004
0.3120260238647461,0.0244,0.103,-0.002
0.31516289710998535,0.024800000000000003,0.083,-0.017
0.3203299045562744,0.0252,0.071,-0.029
0.32938599586486816,0.0256,0.081,-0.022
0.3309059143066406,0.026000000000000002,0.09,-0.011
0.3343479633331299,0.0264,0.098,-0.007
0.3401789665222168,0.0268,0.093,-0.011
0.345242977142334,0.027200000000000002,0.09,-0.011
0.35031604766845703,0.027600000000000003,0.09,-0.013
0.35531091690063477,0.028,0.095,-0.01
0.3643839359283447,0.0284,0.095,-0.012
0.3657820224761963,0.028800000000000003,0.093,-0.011
0.36915087699890137,0.0292,0.093,-0.011
0.37419795989990234,0.0296,0.098,-0.009
0.37923383712768555,0.030000000000000002,0.103,-0.004
0.38434290885925293,0.0304,0.105,0.0
0.38931798934936523,0.0308,0.098,-0.007
0.3943619728088379,0.031200000000000002,0.1,-0.002
0.399169921875,0.0316,0.105,0.008
0.4041440486907959,0.032,0.117,0.012
0.40923500061035156,0.0324,0.115,0.009
0.41420483589172363,0.0328,0.117,0.012
0.4191570281982422,0.0332,0.117,0.01
0.42902588844299316,0.033600000000000005,0.115,0.008
0.43054699897766113,0.034,0.112,0.001
0.43395185470581055,0.0344,0.103,-0.003
0.4389469623565674,0.034800000000000005,0.093,-0.012
0.44394493103027344,0.0352,0.093,-0.017
0.448930025100708,0.0356,0.093,-0.012
0.4538710117340088,0.036000000000000004,0.095,-0.017
0.45885586738586426,0.0364,0.095,-0.015
0.4638659954071045,0.0368,0.1,-0.011
0.4689168930053711,0.037200000000000004,0.103,-0.007
0.47411298751831055,0.0376,0.1,-0.007
0.4789299964904785,0.038,0.1,-0.003
0.48412585258483887,0.038400000000000004,0.1,-0.004
0.48911285400390625,0.0388,0.1,-0.004
0.49411487579345703,0.0392,0.098,-0.008
0.49906396865844727,0.0396,0.095,-0.008
0.5042798519134521,0.04,0.098,-0.009
0.5099389553070068,0.040400000000000005,0.12,0.012
0.5151128768920898,0.0408,0.181,0.083
0.5211639404296875,0.0412,0.41,0.285
0.526188850402832,0.041600000000000005,0.496,0.362
0.531182050704956,0.042,0.503,0.391
0.537600040435791,0.0424,0.469,0.343
0.5423288345336914,0.042800000000000005,0.442,0.316
0.5472838878631592,0.0432,0.442,0.308
0.5523388385772705,0.0436,0.45,0.314
0.5632319450378418,0.044000000000000004,0.442,0.312
0.5646798610687256,0.0444,0.445,0.31
0.5771520137786865,0.0448,0.445,0.308
0.5787010192871094,0.045200000000000004,0.432,0.305
0.5806498527526855,0.0456,0.44,0.305
0.582679033279419,0.046,0.447,0.315
0.591331958770752,0.046400000000000004,0.44,0.313
0.5930888652801514,0.0468,0.45,0.314
0.601287841796875,0.0472,0.45,0.316
0.6029460430145264,0.0476,0.442,0.312
